step,epoch,total_loss,otp_head_loss,decoder_loss,lr,elapsed_s
5,1,3.8645122051239014,2.685032844543457,1.1794793605804443,1e-05,2.0
10,1,3.901824712753296,2.758239984512329,1.1435847282409668,2e-05,2.9
15,1,3.8613364696502686,2.4919443130493164,1.3693921566009521,3e-05,3.9
20,1,3.3280720710754395,2.1128292083740234,1.215242862701416,4e-05,4.8
25,1,2.910662889480591,1.8018330335617065,1.1088298559188843,5e-05,5.8
30,1,2.8554487228393555,1.6760128736495972,1.1794358491897583,6e-05,6.7
35,1,2.9262211322784424,1.7577821016311646,1.1684390306472778,7.000000000000001e-05,7.7
40,1,2.849731922149658,1.7639402151107788,1.0857915878295898,8e-05,8.6
45,1,2.786015033721924,1.5241974592208862,1.2618176937103271,8.999999999999999e-05,9.6
50,1,2.604905843734741,1.530849575996399,1.0740562677383423,0.0001,10.5
55,1,2.9002432823181152,1.700636386871338,1.199607014656067,0.00011,11.4
60,1,2.9949398040771484,1.6284538507461548,1.3664860725402832,0.00012,12.4
65,1,2.8235464096069336,1.5831785202026367,1.2403680086135864,0.00013000000000000002,13.3
70,1,2.740449905395508,1.4719889163970947,1.2684608697891235,0.00014000000000000001,14.2
75,1,2.99782657623291,1.8263589143753052,1.171467661857605,0.00015,15.2
80,1,2.5424094200134277,1.4432204961776733,1.0991889238357544,0.00016,16.1
85,1,2.5753798484802246,1.4032809734344482,1.1720988750457764,0.00017,17.1
90,1,2.7209744453430176,1.508321762084961,1.2126526832580566,0.00017999999999999998,18.0
95,1,2.969620704650879,1.7408671379089355,1.228753685951233,0.00019,18.9
100,1,2.7949867248535156,1.5868357419967651,1.208150863647461,0.0002,19.9
105,1,2.5256481170654297,1.4546955823898315,1.0709524154663086,0.00021,20.8
110,1,2.855799674987793,1.4920622110366821,1.3637375831604004,0.00022,21.8
115,1,3.0126709938049316,1.6859453916549683,1.3267254829406738,0.00023,22.8
120,1,2.8485217094421387,1.5645278692245483,1.2839938402175903,0.00024,23.7
125,1,3.0306448936462402,1.6386535167694092,1.3919914960861206,0.00025,24.7
130,1,2.732799530029297,1.3459393978118896,1.3868601322174072,0.00026000000000000003,25.7
135,1,2.883155584335327,1.4865845441818237,1.3965710401535034,0.00027,26.6
140,1,2.656113624572754,1.396180510520935,1.2599331140518188,0.00028000000000000003,27.6
145,1,2.6119742393493652,1.4554847478866577,1.156489372253418,0.00029,28.6
150,1,2.674023151397705,1.456484317779541,1.2175387144088745,0.0003,29.6
155,1,2.6922574043273926,1.4766422510147095,1.2156152725219727,0.00031,30.6
160,1,2.6930456161499023,1.5311745405197144,1.161871075630188,0.00032,31.6
165,1,2.8004727363586426,1.6172430515289307,1.1832298040390015,0.00033,32.5
170,1,2.729768753051758,1.4827231168746948,1.2470455169677734,0.00034,33.5
175,1,2.7438580989837646,1.407504677772522,1.3363534212112427,0.00035,34.5
180,1,2.5560860633850098,1.3691755533218384,1.186910629272461,0.00035999999999999997,35.4
185,1,2.8225960731506348,1.6759105920791626,1.1466853618621826,0.00037,36.4
190,1,2.7885875701904297,1.444841980934143,1.3437457084655762,0.00038,37.4
195,1,2.7098982334136963,1.568687915802002,1.1412103176116943,0.00039000000000000005,38.3
200,1,2.6416850090026855,1.5038331747055054,1.1378518342971802,0.0004,39.3
