step,epoch,total_loss,otp_head_loss,decoder_loss,lr,elapsed_s
390,1,2.783578872680664,1.509306788444519,1.2742722034454346,0.0007800000000000001,75.3
400,1,3.0499093532562256,1.7267968654632568,1.3231124877929688,0.0008,77.3
410,1,2.8087704181671143,1.510425329208374,1.2983450889587402,0.00082,79.2
420,1,3.160743236541748,1.9391270875930786,1.2216160297393799,0.00084,81.1
430,1,3.5254788398742676,2.2914185523986816,1.234060287475586,0.00086,83.0
440,1,2.6368117332458496,1.499326467514038,1.1374852657318115,0.00088,84.9
450,1,3.158608913421631,1.852543592453003,1.3060654401779175,0.0009000000000000001,86.8
460,1,2.788482427597046,1.692838430404663,1.0956439971923828,0.00092,88.8
470,1,3.2890238761901855,2.172933578491211,1.116090178489685,0.00094,90.7
480,1,8.074772834777832,6.906005382537842,1.1687672138214111,0.00096,92.6
490,1,3.2195096015930176,1.8466362953186035,1.3728734254837036,0.00098,94.5
500,1,3.114389181137085,1.971408724784851,1.1429804563522339,0.001,96.4
510,1,2.7869064807891846,1.7007431983947754,1.0861632823944092,0.0009990133642141358,98.4
520,1,2.866320848464966,1.6504323482513428,1.215888500213623,0.000996057350657239,100.3
530,1,3.125235080718994,1.8999600410461426,1.2252751588821411,0.0009911436253643444,102.2
540,1,3.147839069366455,1.8425019979476929,1.3053371906280518,0.0009842915805643156,104.2
550,1,2.709998607635498,1.6673113107681274,1.0426872968673706,0.0009755282581475768,106.1
560,1,2.7030463218688965,1.5644867420196533,1.1385596990585327,0.0009648882429441257,108.0
570,1,2.621155261993408,1.5381829738616943,1.0829722881317139,0.0009524135262330098,110.0
580,1,2.785262107849121,1.6607743501663208,1.1244878768920898,0.0009381533400219318,111.9
590,1,2.759826183319092,1.621817946434021,1.1380082368850708,0.0009221639627510075,113.8
600,1,3.0398316383361816,1.6551367044448853,1.384695053100586,0.0009045084971874737,115.7
610,1,2.5792224407196045,1.4493465423583984,1.129875898361206,0.0008852566213878947,117.6
620,1,2.86993670463562,1.7828071117401123,1.0871295928955078,0.0008644843137107057,119.5
630,1,2.5826525688171387,1.5451686382293701,1.037484049797058,0.0008422735529643444,121.5
640,1,2.7815423011779785,1.5156006813049316,1.2659416198730469,0.0008187119948743449,123.4
650,1,2.7560153007507324,1.4558659791946411,1.3001494407653809,0.0007938926261462366,125.3
660,1,2.732675790786743,1.7004836797714233,1.0321921110153198,0.0007679133974894983,127.2
670,1,3.3447513580322266,2.119438648223877,1.22531259059906,0.0007408768370508576,129.2
680,1,2.7763776779174805,1.582887053489685,1.1934905052185059,0.0007128896457825364,131.1
690,1,2.776895046234131,1.6917433738708496,1.0851515531539917,0.0006840622763423391,133.0
700,1,3.0326638221740723,1.80630362033844,1.2263602018356323,0.0006545084971874737,134.9
710,1,2.525414228439331,1.3115886449813843,1.2138255834579468,0.0006243449435824276,136.9
720,1,2.734780788421631,1.5903069972991943,1.144473671913147,0.0005936906572928624,138.8
730,1,2.741211175918579,1.6513075828552246,1.0899035930633545,0.0005626666167821521,140.7
740,1,2.8332598209381104,1.5783321857452393,1.254927635192871,0.0005313952597646568,142.7
750,1,2.6477444171905518,1.487788200378418,1.1599562168121338,0.0005,144.6
760,1,2.677971601486206,1.5220915079116821,1.155880093574524,0.0004686047402353433,146.5
770,1,3.195680618286133,2.0783309936523438,1.1173495054244995,0.00043733338321784784,148.4
780,1,2.7828752994537354,1.5996713638305664,1.183203935623169,0.0004063093427071376,150.3
790,1,2.72286319732666,1.4389301538467407,1.2839330434799194,0.0003756550564175727,152.3
800,1,3.2380356788635254,1.9301785230636597,1.3078570365905762,0.00034549150281252633,154.2
810,1,2.7234013080596924,1.5727779865264893,1.1506233215332031,0.00031593772365766105,156.1
820,1,4.693845272064209,3.491401195526123,1.2024441957473755,0.00028711035421746366,158.0
830,1,3.0528292655944824,1.734113335609436,1.3187159299850464,0.0002591231629491423,160.0
840,1,2.5312695503234863,1.3188087940216064,1.2124607563018799,0.00023208660251050156,161.9
850,1,3.6699185371398926,2.5208792686462402,1.1490391492843628,0.00020610737385376348,163.8
860,1,3.7435059547424316,2.5874383449554443,1.1560674905776978,0.00018128800512565513,165.7
870,1,3.6136255264282227,2.477431535720825,1.1361939907073975,0.00015772644703565563,167.5
880,1,3.763549566268921,2.5060369968414307,1.2575125694274902,0.00013551568628929433,169.4
890,1,3.7047977447509766,2.5223913192749023,1.1824065446853638,0.00011474337861210544,171.3
900,1,3.4504032135009766,2.3481380939483643,1.1022650003433228,9.549150281252633e-05,173.2
910,1,3.4705371856689453,2.3647680282592773,1.1057692766189575,7.783603724899258e-05,175.0
920,1,3.4884185791015625,2.1867001056671143,1.3017183542251587,6.184665997806832e-05,176.9
930,1,3.3572733402252197,2.223095417022705,1.1341779232025146,4.758647376699032e-05,178.8
940,1,3.388521194458008,2.2333550453186035,1.1551661491394043,3.5111757055874326e-05,180.6
950,1,3.2411115169525146,2.0513195991516113,1.1897919178009033,2.4471741852423235e-05,182.5
960,1,3.2915894985198975,2.1756324768066406,1.1159570217132568,1.5708419435684463e-05,184.4
970,1,3.3353614807128906,2.304903268814087,1.0304582118988037,8.856374635655695e-06,186.3
980,1,3.271946907043457,2.207331895828247,1.0646151304244995,3.942649342761117e-06,188.1
990,1,3.344517230987549,2.1080751419067383,1.236441969871521,9.866357858642206e-07,190.0
1000,1,3.236088752746582,2.078916549682617,1.1571722030639648,0.0,191.9
