step,epoch,total_loss,otp_head_loss,decoder_loss,lr,elapsed_s
5,1,3.935379981994629,2.6852383613586426,1.2501415014266968,1e-05,2.0
10,1,3.7899584770202637,2.7181336879730225,1.0718247890472412,2e-05,2.9
15,1,3.701964855194092,2.4040582180023193,1.297906756401062,3e-05,3.9
20,1,3.2933831214904785,2.271432399749756,1.0219508409500122,4e-05,4.8
25,1,3.1794815063476562,1.9517576694488525,1.2277238368988037,5e-05,5.8
30,1,2.887514352798462,1.7309364080429077,1.1565779447555542,6e-05,6.7
35,1,2.8740334510803223,1.6580495834350586,1.2159839868545532,7.000000000000001e-05,7.7
40,1,2.8227481842041016,1.5405187606811523,1.2822294235229492,8e-05,8.6
45,1,2.874907970428467,1.6812903881072998,1.1936174631118774,8.999999999999999e-05,9.6
50,1,2.8999385833740234,1.6584303379058838,1.2415083646774292,0.0001,10.5
55,1,3.104990243911743,1.7984422445297241,1.306547999382019,0.00011,11.5
60,1,2.6410012245178223,1.5504008531570435,1.0906004905700684,0.00012,12.4
65,1,2.9576094150543213,1.7414681911468506,1.2161412239074707,0.00013000000000000002,13.3
70,1,2.864363670349121,1.621666669845581,1.2426968812942505,0.00014000000000000001,14.3
75,1,2.8907434940338135,1.7127503156661987,1.1779931783676147,0.00015,15.2
80,1,2.9402964115142822,1.6840099096298218,1.2562865018844604,0.00016,16.2
85,1,3.036132335662842,1.7508026361465454,1.2853296995162964,0.00017,17.1
90,1,2.6876158714294434,1.5369924306869507,1.1506234407424927,0.00017999999999999998,18.0
95,1,2.798935890197754,1.6561094522476196,1.1428263187408447,0.00019,19.0
100,1,2.75888729095459,1.5187448263168335,1.240142583847046,0.0002,19.9
105,1,2.7990634441375732,1.5407590866088867,1.2583043575286865,0.00021,20.8
110,1,2.8552966117858887,1.622568130493164,1.2327286005020142,0.00022,21.8
115,1,3.0491504669189453,1.8432295322418213,1.2059210538864136,0.00023,22.7
120,1,2.724400281906128,1.486897587776184,1.2375026941299438,0.00024,23.6
125,1,2.9725849628448486,1.6338380575180054,1.3387469053268433,0.00025,24.6
130,1,2.7057619094848633,1.3992071151733398,1.3065546751022339,0.00026000000000000003,25.5
135,1,2.6347262859344482,1.5831540822982788,1.0515722036361694,0.00027,26.4
140,1,2.4618310928344727,1.352670669555664,1.1091604232788086,0.00028000000000000003,27.4
145,1,2.858840227127075,1.5553137063980103,1.303526520729065,0.00029,28.3
150,1,2.6089389324188232,1.3962619304656982,1.212677001953125,0.0003,29.2
155,1,2.708343029022217,1.6616721153259277,1.0466707944869995,0.00031,30.2
160,1,2.624359607696533,1.5715065002441406,1.0528532266616821,0.00032,31.1
165,1,2.8537144660949707,1.768530011177063,1.0851844549179077,0.00033,32.1
170,1,2.912710666656494,1.7597553730010986,1.1529552936553955,0.00034,33.0
175,1,2.537158966064453,1.4626027345657349,1.0745562314987183,0.00035,34.0
180,1,2.930482864379883,1.502076268196106,1.4284067153930664,0.00035999999999999997,34.9
185,1,2.5141286849975586,1.269641637802124,1.2444871664047241,0.00037,35.8
190,1,2.9069390296936035,1.7045706510543823,1.2023683786392212,0.00038,36.8
195,1,2.8411192893981934,1.5744378566741943,1.266681432723999,0.00039000000000000005,37.7
200,1,2.5440680980682373,1.3749568462371826,1.1691112518310547,0.0004,38.6
