step,epoch,total_loss,otp_head_loss,decoder_loss,lr,elapsed_s
2350,1,1.999523401260376,1.1186381578445435,0.8808851838111877,3.707499288801657e-05,823.3
2375,1,2.028930187225342,1.1566367149353027,0.8722934722900391,3.588313829528698e-05,831.6
2400,1,2.0615854263305664,1.1445304155349731,0.9170548915863037,3.46999379513788e-05,839.9
2425,1,1.9855501651763916,1.2148709297180176,0.7706792950630188,3.352611720944745e-05,848.2
2450,1,1.8176171779632568,1.0443118810653687,0.7733052968978882,3.236239567254526e-05,856.5
2475,1,1.8447458744049072,1.1636791229248047,0.6810667514801025,3.1209486752473694e-05,864.8
2500,1,2.136392116546631,1.261718988418579,0.8746731281280518,3.0068097232430804e-05,873.1
2525,1,1.93168044090271,1.0950757265090942,0.836604654788971,2.8938926833722613e-05,881.5
2550,1,1.8737050294876099,1.1293953657150269,0.744309663772583,2.782266778680348e-05,890.0
2575,1,1.9176428318023682,1.1229383945465088,0.7947043776512146,2.6720004406908884e-05,898.2
2600,1,1.9072930812835693,1.1245536804199219,0.7827394604682922,2.5631612674540373e-05,906.5
2625,1,1.8402533531188965,1.1018017530441284,0.7384515404701233,2.4558159821060294e-05,914.9
2650,1,1.9597344398498535,1.1190067529678345,0.840727686882019,2.3500303919649923e-05,923.4
2675,1,1.9706428050994873,1.1605254411697388,0.8101173639297485,2.2458693481882177e-05,931.9
2700,1,1.8921780586242676,1.055060625076294,0.8371173739433289,2.1433967060155685e-05,940.2
2725,1,1.8852648735046387,1.1011823415756226,0.7840825915336609,2.0426752856234667e-05,948.6
2750,1,2.125924825668335,1.2202467918395996,0.9056779742240906,1.9437668336133808e-05,957.0
2775,1,1.769745111465454,1.0397313833236694,0.7300137877464294,1.8467319851584954e-05,965.3
2800,1,1.8824548721313477,1.1454323530197144,0.7370225787162781,1.751630226831704e-05,973.7
2825,1,1.8337581157684326,1.0822571516036987,0.7515009641647339,1.658519860137774e-05,982.1
2850,1,1.9463139772415161,1.1570546627044678,0.7892593145370483,1.567457965771977e-05,990.5
2875,1,1.9691669940948486,1.1938003301620483,0.7753667235374451,1.4785003686271632e-05,998.9
2900,1,1.9008245468139648,1.068487286567688,0.8323372006416321,1.3917016035706631e-05,1007.3
2925,1,1.9100353717803955,1.113025426864624,0.7970100045204163,1.3071148820120643e-05,1015.6
2950,1,1.9148533344268799,1.1579201221466064,0.7569332122802734,1.2247920592822898e-05,1024.0
2975,1,1.837714672088623,1.1153755187988281,0.7223392128944397,1.1447836028440472e-05,1032.3
3000,1,1.9385960102081299,1.1579142808914185,0.7806816697120667,1.067138561353072e-05,1040.7
3025,1,1.779927372932434,1.0806964635849,0.6992309093475342,9.919045345891782e-06,1071.5
3050,1,1.9605863094329834,1.1890113353729248,0.7715750336647034,9.191276442755259e-06,1079.9
3075,1,2.002220392227173,1.0632116794586182,0.9390087127685547,8.488525058040082e-06,1088.2
3100,1,1.8719849586486816,1.055802822113037,0.8161821961402893,7.81122200884072e-06,1096.6
3125,1,1.8942474126815796,1.1025769710540771,0.7916704416275024,7.159782511317692e-06,1104.9
3150,1,1.9070672988891602,1.1491336822509766,0.7579335570335388,6.534605926151949e-06,1113.3
3175,1,1.9351037740707397,1.2125165462493896,0.7225872278213501,5.936075513719552e-06,1121.7
3200,1,1.8568288087844849,1.1577911376953125,0.6990376710891724,5.3645581991363155e-06,1130.1
3225,1,2.0768232345581055,1.282549262046814,0.7942740321159363,4.820404347316915e-06,1138.4
3250,1,1.9932172298431396,1.1600658893585205,0.8331513404846191,4.303947548185855e-06,1146.8
3275,1,1.7432835102081299,1.06453275680542,0.6787506937980652,3.815504412172494e-06,1155.2
3300,1,1.9936468601226807,1.1442663669586182,0.8493804335594177,3.355374376115017e-06,1163.5
3325,1,1.965113639831543,1.202614665031433,0.7624990344047546,2.9238395196927283e-06,1171.9
3350,1,1.9664874076843262,1.1805596351623535,0.7859278321266174,2.521164392498915e-06,1180.3
3375,1,1.9695360660552979,1.0817664861679077,0.8877695202827454,2.1475958518604956e-06,1188.7
3400,1,1.9823668003082275,1.2055646181106567,0.7768021821975708,1.8033629115037699e-06,1197.0
3425,1,1.9897319078445435,1.1920056343078613,0.7977262735366821,1.4886766011590448e-06,1205.4
3450,1,1.8212001323699951,1.1366419792175293,0.6845581531524658,1.203729837190265e-06,1213.8
3475,1,1.8817081451416016,1.1098055839538574,0.7719025015830994,9.48697304328916e-07,1222.1
3500,1,1.8091731071472168,1.051068663597107,0.7581043839454651,7.237353485846865e-07,1230.5
3525,1,1.8794684410095215,1.1047935485839844,0.7746748328208923,5.289818813985992e-07,1238.8
3550,1,1.903510332107544,1.1662046909332275,0.7373057007789612,3.6455629509730136e-07,1247.1
3575,1,1.7798359394073486,1.0612807273864746,0.7185551524162292,2.305593897003855e-07,1255.3
3600,1,1.8306059837341309,1.0329052209854126,0.797700822353363,1.2707331112561393e-07,1263.6
3625,1,2.1766679286956787,1.3292961120605469,0.8473717570304871,5.416150082989124e-08,1271.9
3650,1,2.1497738361358643,1.326609492301941,0.8231644034385681,1.1868656916919075e-08,1280.2
