step,epoch,total_loss,otp_head_loss,decoder_loss,lr,elapsed_s
25,1,3.8683178424835205,2.751926898956299,1.1163909435272217,5e-06,9.4
50,1,3.192938804626465,1.9517037868499756,1.2412351369857788,1e-05,17.9
75,1,2.884725570678711,1.5993056297302246,1.2854199409484863,1.5e-05,26.4
100,1,2.8769078254699707,1.6493992805480957,1.2275084257125854,2e-05,34.8
125,1,2.9111268520355225,1.6030747890472412,1.3080520629882812,2.5e-05,43.2
150,1,2.875892162322998,1.634673833847046,1.2412184476852417,3e-05,51.7
175,1,2.7913284301757812,1.5143259763717651,1.2770023345947266,3.5e-05,60.3
200,1,2.725712299346924,1.5699808597564697,1.155731439590454,4e-05,68.8
225,1,2.814974784851074,1.5420371294021606,1.272937536239624,4.5e-05,77.4
250,1,2.4351587295532227,1.2972944974899292,1.1378642320632935,5e-05,85.9
275,1,2.581531286239624,1.3515396118164062,1.2299916744232178,5.500000000000001e-05,94.5
300,1,2.511443614959717,1.3280062675476074,1.1834372282028198,6e-05,103.0
325,1,2.449321985244751,1.2059351205825806,1.2433868646621704,6.500000000000001e-05,111.4
350,1,2.627647638320923,1.4237476587295532,1.2038999795913696,7e-05,119.8
375,1,2.753547430038452,1.5166146755218506,1.2369327545166016,7.500000000000001e-05,128.3
400,1,2.6867668628692627,1.3314088582992554,1.3553580045700073,8e-05,136.7
425,1,2.4611549377441406,1.2321830987930298,1.2289719581604004,8.5e-05,145.1
450,1,2.4846878051757812,1.3821969032287598,1.1024909019470215,9e-05,153.5
475,1,2.422787666320801,1.3498494625091553,1.0729382038116455,9.5e-05,161.9
500,1,2.4458260536193848,1.1746186017990112,1.2712074518203735,0.0001,170.3
525,1,2.3071041107177734,1.1295878887176514,1.1775163412094116,9.998467391513347e-05,178.7
550,1,2.509355068206787,1.3610155582427979,1.1483396291732788,9.993870505608896e-05,187.1
575,1,2.3910813331604004,1.3244314193725586,1.0666500329971313,9.986212160377184e-05,195.5
600,1,2.331040382385254,1.1806786060333252,1.1503618955612183,9.975497050716174e-05,203.9
625,1,2.4058613777160645,1.2900527715682983,1.1158086061477661,9.961731745453064e-05,212.4
650,1,2.560863733291626,1.3851027488708496,1.1757609844207764,9.944924683317322e-05,220.8
